               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043291,             0.06586,            0.016576,             0.66645,             0.67344,             0.71068,             0.46668,            0.040896,            0.037014,           0.0097699,               7e-05,               7e-05,             0.09937
                   1,            0.045342,             0.06178,            0.018371,             0.71058,             0.65783,             0.72287,             0.47446,            0.040752,            0.036811,           0.0095576,           0.0001495,           0.0001495,             0.09865
                   2,            0.045698,             0.07243,            0.016805,             0.78753,             0.61931,             0.72929,             0.48481,            0.040348,            0.036511,           0.0091381,          0.00022848,          0.00022848,            0.097928
                   3,            0.043506,            0.061092,            0.016518,             0.81314,             0.60444,             0.73605,             0.48916,            0.040145,            0.036329,           0.0088222,          0.00030693,          0.00030693,            0.097207
                   4,            0.042419,             0.05777,            0.016444,             0.82544,             0.60507,             0.75172,              0.4982,            0.039888,            0.036139,           0.0085559,          0.00038485,          0.00038485,            0.096485
                   5,            0.044693,             0.06095,             0.01489,             0.73357,              0.6669,              0.7558,             0.49786,            0.039681,            0.035939,           0.0082903,          0.00046225,          0.00046225,            0.095762
                   6,            0.044597,             0.06443,            0.014816,             0.82097,             0.62154,             0.75304,             0.49814,            0.039546,            0.035637,           0.0080364,          0.00053911,          0.00053911,            0.095039
                   7,            0.044391,            0.058753,            0.015727,             0.79387,             0.64741,             0.76081,              0.4993,             0.03941,             0.03536,           0.0078572,          0.00061545,          0.00061545,            0.094315
                   8,            0.043095,             0.06115,            0.013931,              0.7305,             0.69986,             0.77064,             0.50941,            0.039105,             0.03502,           0.0076924,          0.00069126,          0.00069126,            0.093591
                   9,            0.045319,            0.064819,            0.015179,              0.7802,             0.68751,             0.76468,             0.50937,            0.038905,            0.034727,           0.0074812,          0.00076654,          0.00076654,            0.092867
                  10,            0.044062,            0.057226,            0.014127,             0.77245,             0.68965,             0.77061,               0.517,            0.038748,            0.034505,           0.0072668,          0.00084129,          0.00084129,            0.092141
                  11,            0.042534,            0.061027,            0.015527,             0.82971,             0.67877,             0.78024,             0.52184,             0.03847,            0.034094,           0.0070877,          0.00091551,          0.00091551,            0.091416
                  12,            0.042562,            0.063886,            0.013664,             0.80386,              0.6909,             0.78549,             0.52777,            0.038344,            0.033898,           0.0068865,          0.00098921,          0.00098921,            0.090689
                  13,            0.044299,            0.054851,            0.013226,             0.74071,             0.73586,             0.78756,             0.52743,            0.038194,            0.033684,           0.0066558,           0.0010624,           0.0010624,            0.089962
                  14,            0.043711,            0.058089,            0.013456,             0.83211,             0.69845,             0.79768,             0.53862,            0.038049,            0.033322,           0.0064328,            0.001135,            0.001135,            0.089235
                  15,            0.043327,            0.057387,            0.013169,             0.81201,             0.72117,             0.80312,             0.54518,             0.03788,            0.032909,           0.0062902,           0.0012071,           0.0012071,            0.088507
                  16,            0.043097,            0.060529,            0.012043,             0.80788,             0.71603,             0.80118,              0.5444,            0.037857,            0.032707,           0.0061377,           0.0012787,           0.0012787,            0.087779
                  17,            0.040585,            0.052175,            0.012849,             0.83423,             0.71593,             0.81116,             0.54344,            0.037761,            0.032334,           0.0059923,           0.0013498,           0.0013498,             0.08705
                  18,            0.041427,            0.054024,            0.010851,             0.86021,             0.70204,             0.81056,             0.55254,            0.037559,            0.031886,           0.0059342,           0.0014203,           0.0014203,             0.08632
                  19,            0.039499,            0.046256,            0.011276,             0.83542,             0.73701,             0.81735,             0.55194,            0.037212,            0.031568,           0.0056602,           0.0014903,           0.0014903,             0.08559
                  20,            0.041904,            0.055288,            0.011683,             0.85121,             0.73302,             0.82194,             0.55746,            0.037264,            0.031352,           0.0054669,           0.0015598,           0.0015598,             0.08486
                  21,            0.041474,             0.05611,            0.010786,             0.85739,             0.73311,             0.82761,             0.56808,            0.037007,            0.031136,           0.0053705,           0.0016287,           0.0016287,            0.084129
                  22,            0.040237,            0.060842,            0.010117,             0.81685,             0.76295,              0.8313,             0.58065,            0.036556,            0.031052,           0.0052586,           0.0016971,           0.0016971,            0.083397
                  23,            0.041843,             0.06157,            0.010425,             0.85824,             0.74875,             0.83365,             0.57909,            0.036443,            0.030829,           0.0051147,            0.001765,            0.001765,            0.082665
                  24,            0.038908,            0.049415,            0.011393,             0.86476,             0.75046,             0.83217,             0.57498,            0.036497,            0.030334,           0.0049474,           0.0018324,           0.0018324,            0.081932
                  25,             0.04021,            0.052791,             0.01085,             0.86084,             0.76083,             0.83576,             0.58548,            0.036219,            0.030021,            0.004846,           0.0018992,           0.0018992,            0.081199
                  26,            0.041152,            0.053635,           0.0097732,             0.87277,             0.75798,             0.83486,             0.58396,            0.036267,            0.029698,           0.0047128,           0.0019655,           0.0019655,            0.080466
                  27,            0.040066,             0.05212,            0.010325,             0.87479,             0.76302,             0.83823,             0.58997,            0.036142,            0.029548,           0.0045223,           0.0020313,           0.0020313,            0.079731
                  28,            0.039301,            0.051382,           0.0097274,             0.86431,             0.77438,             0.84219,             0.59161,             0.03597,            0.029269,           0.0044075,           0.0020966,           0.0020966,            0.078997
                  29,            0.041398,            0.049479,            0.010037,             0.88673,             0.76927,             0.84741,             0.59047,            0.035575,            0.028914,           0.0044103,           0.0021613,           0.0021613,            0.078261
                  30,            0.040505,            0.049628,           0.0097852,             0.86908,             0.78971,             0.85071,             0.58892,             0.03659,            0.028836,           0.0043253,           0.0022255,           0.0022255,            0.077525
                  31,            0.040215,            0.056007,           0.0090208,             0.84965,             0.79484,             0.84916,             0.57258,            0.036273,            0.028756,           0.0042636,           0.0022891,           0.0022891,            0.076789
